"siteId","activityId","startDate","endDate","health_eru","first_aid","rescue","hygiene_promo","wash","pss_counseling","child_activities","total_pss","total_rfl","total_rfl_vulnerable","info_services","wifi_mobile","phone_cards_calls","hotline_calls","other_services","total_health","total_connectivity","total_wash","total_ppl_reached","Total.RFL","locationId","locationName","latitude","longitude","partnerId","partnerName"
1189072594,70700,"2016-01-30","2016-02-04",504,0,0,0,0,58,72,130,0,0,132,0,0,0,7,634,132,0,773,0,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross"
1192085439,70700,"2016-02-05","2016-02-11",162,0,0,225,0,440,295,735,1,0,32,0,0,0,0,897,32,225,1155,1,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1202616338,70700,"2016-02-12","2016-02-18",70,0,0,51,120,290,152,442,1,0,20,0,0,0,0,512,20,171,704,1,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1209612850,70700,"2016-04-29","2016-05-05",275,0,0,0,0,14,25,39,2,0,0,0,0,0,0,314,0,0,316,2,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1239202276,70700,"2016-03-18","2016-03-24",502,0,0,0,0,27,0,27,0,0,55,0,0,0,4,529,55,0,588,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1252841422,70700,"2016-03-25","2016-03-31",180,0,0,53,0,472,53,525,0,0,0,0,0,0,0,705,0,53,758,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1256055465,70700,"2016-06-10","2016-06-16",0,16,0,0,0,21,0,21,2,0,0,0,106,9,0,37,115,0,154,2,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1258755216,70700,"2016-03-04","2016-03-10",251,0,0,0,0,17,192,209,0,0,4,0,0,0,0,460,4,0,464,0,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1272955634,70700,"2016-03-25","2016-03-31",0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,10,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
1309935981,70700,"2016-05-27","2016-06-02",178,95,0,10,0,18,38,56,568,223,40,0,0,140,0,329,180,10,1310,791,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1324732813,70700,"2016-03-04","2016-03-10",6,40,200,0,0,19,23,42,4,0,1122,1780,43,12,0,288,2957,0,3249,4,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1355411768,70700,"2016-03-18","2016-03-24",0,0,0,0,0,17,0,17,0,0,22,0,0,0,167,17,22,0,206,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
1357386193,70700,"2016-06-10","2016-06-16",0,5,0,0,0,17,0,17,5,0,0,0,0,0,0,22,0,0,27,5,569080712,"Kos",36.85,27.23333,13759,"Kos"
1377168833,70700,"2016-01-30","2016-02-04",72,0,0,160,0,300,160,460,1,0,90,0,0,0,0,532,90,160,783,1,519440442,"Samos",37.75,26.83333,13910,"Hellenic Red Cross"
1399479225,70700,"2016-04-01","2016-04-07",0,9,0,0,0,0,0,0,0,0,40,550,158,10,0,9,758,0,767,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1404285821,70700,"2016-01-23","2016-01-29",0,90,2920,35,0,3,34,37,3,0,665,2667,0,1,0,3047,3333,35,6418,3,755114467,"Lesvos",39.1,26.55,13910,"Hellenic Red Cross"
1413934798,70700,"2016-06-03","2016-06-09",535,0,0,0,0,26,0,26,0,0,0,0,0,0,0,561,0,0,561,0,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
1444425564,70700,"2016-02-19","2016-02-25",503,0,0,214,214,1043,75,1118,0,0,0,0,0,0,0,1621,0,428,2049,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1470488883,70700,"2016-02-19","2016-02-25",0,393,460,0,0,2,15,17,4,0,1081,1460,9,17,0,870,2567,0,3441,4,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1477776435,70700,"2016-02-26","2016-03-03",490,0,0,0,0,62,50,112,2,5,64,0,0,0,35,602,64,0,708,7,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1504654709,70700,"2016-04-15","2016-04-21",212,0,0,204,0,1189,368,1557,0,0,0,0,0,0,0,1769,0,204,1973,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1525153875,70700,"2016-02-19","2016-02-25",136,0,0,120,0,130,60,190,4,0,140,0,1,0,0,326,141,120,591,4,519440442,"Samos",37.75,26.83333,13753,"Samos"
1527282719,70700,"2016-05-06","2016-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
1540033494,70700,"2016-04-08","2016-04-14",0,41,0,0,0,0,0,0,4,0,1255,2870,182,9,0,41,4316,0,4361,4,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1556202270,70700,"2016-02-26","2016-03-03",224,0,0,140,0,0,0,0,1,0,150,0,1,0,0,224,151,140,516,1,519440442,"Samos",37.75,26.83333,13753,"Samos"
1560571757,70700,"2016-05-27","2016-06-02",590,0,0,547,0,11,0,11,5,0,0,0,0,0,0,601,0,547,1153,5,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
1563459030,70700,"2016-05-13","2016-05-19",144,1,0,112,0,574,70,644,1,0,0,0,0,0,0,789,0,112,902,1,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1568793601,70700,"2016-06-17","2016-06-23",0,2,0,0,0,18,0,18,6,0,0,0,0,0,0,20,0,0,26,6,569080712,"Kos",36.85,27.23333,13759,"Kos"
