"siteId","activityId","startDate","endDate","male","female","under5","total_beneficiaries","total_beneficiaries2","family_parcels","food_parcels","food_to_go","hot_meals","water_bottles","survival_kits","total_food","fem_hygkit","male_hygkit","unisex_hygkit","san_pads","razors","baby_kits","diapers","total_hygiene","total_hygkits","sleeping_bags","camp_mats","high_thermal_blankets","med_thermal_blankets","jackets","socks","total_textiles","duffel_bags","backpacks","total_bags","total_warmth","total_clothing","alum_blankets","other","total_nfi_other","tea","plastic_cups","sugar_packs","plastic_bags","ramadan","Total.all.distributions","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection"
1242042243,70699,"2016-04-15","2016-04-21",0,0,0,9755,9755,0,2437,0,0,3024,0,2437,0,0,1344,580,860,750,132,3666,1344,0,0,0,0,0,0,0,628,0,628,0,0,0,0,628,0,0,0,0,0,9755,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","Manual"
1250101400,70699,"2016-06-03","2016-06-09",0,0,0,5048,5048,0,5048,0,0,0,0,5048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5048,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1302696856,70699,"2016-04-22","2016-04-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1315057601,70699,"2016-01-30","2016-02-04",0,0,0,14774,14774,0,4186,0,0,7479,0,4186,0,0,960,152,610,181,170,2073,960,0,0,40,196,0,0,236,800,0,800,236,0,0,0,800,0,0,0,0,0,14774,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross","Manual"
1324762906,70699,"2016-05-27","2016-06-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
1339464782,70699,"2016-05-06","2016-05-12",725,701,289,1715,0,0,1200,0,0,2405,0,1200,0,0,1189,0,0,0,0,1189,1189,0,0,160,0,0,0,160,1267,0,1267,160,0,0,0,1267,0,0,0,0,0,6221,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","Manual"
1346076543,70699,"2016-04-08","2016-04-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1346805259,70699,"2016-03-25","2016-03-31",0,0,0,3579,3579,0,0,0,0,0,0,0,0,0,1128,0,600,271,0,1999,1128,0,0,0,0,0,0,0,120,0,120,0,0,0,0,120,0,0,0,0,0,2119,461396992,"Diavata",40.7,22.86,13838,"Diavata","Manual"
1357296110,70699,"2016-01-16","2016-01-22",372,178,65,615,0,0,558,0,0,372,0,558,0,0,232,121,150,57,0,560,232,0,0,45,460,0,0,505,0,297,297,505,0,25,0,322,0,0,0,0,0,2317,519440442,"Samos",37.75,26.83333,13753,"Samos","Manual"
1373265913,70699,"2016-01-09","2016-01-15",246,70,113,429,0,66,209,0,0,427,0,275,67,254,0,0,203,17,0,541,321,7,0,86,0,0,0,93,0,197,197,93,0,0,200,397,0,0,0,0,0,1733,569080712,"Kos",36.85,27.23333,13759,"Kos","Manual"
