"siteId","activityId","startDate","endDate","nurse_vols","nurse_vols_hrs","social_vols","social_vols_hrs","samaritan_vols","samaritan_vols_hrs","rfl_vols","rfl_vols_hrs","fasttrack_vols","fasttrack_vols_hrs","Beneficiary.Volunteers","Beneficiaries.Hours.of.Service","staffvols_trained","Total.Volunteers..incl.Ben..","Total.Volunteer.Hours..incl.Ben..","Total.Volunteers..excl.Ben..","Total.Volunteer.Hours..excl.Ben..","locationId","locationName","latitude","longitude","partnerId","partnerName"
753159453,70698,"2016-02-12","2016-02-18",1,3,8,26,4,14,0,0,0,0,0,0,0,13,43,13,43,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
774054793,70698,"2016-06-17","2016-06-23",0,0,0,0,4,20,1,8,0,0,0,0,0,5,28,5,28,1116080926,"Oraiokastro",40.729,22.9105,13910,"Hellenic Red Cross"
778260297,70698,"2016-04-22","2016-04-28",0,0,11,88,18,144,1,8,6,48,0,0,0,36,288,36,288,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
780614731,70698,"2016-01-16","2016-01-22",0,0,29,95,13,795,3,50,0,0,0,0,32,45,940,45,940,755114467,"Lesvos",39.1,26.55,13910,"Hellenic Red Cross"
787878664,70698,"2016-03-04","2016-03-10",0,0,45,170,12,1020,9,36,0,0,0,0,0,66,1226,66,1226,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
811217837,70698,"2016-06-03","2016-06-09",0,0,22,72,2,70,18,43,0,0,0,0,5,42,185,42,185,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
812633807,70698,"2016-02-12","2016-02-18",3,35,0,0,0,0,0,0,0,0,0,0,0,3,35,3,35,519440442,"Samos",37.75,26.83333,13753,"Samos"
820408559,70698,"2016-02-26","2016-03-03",4,24,27,216,21,184,8,30,0,0,0,0,0,60,454,60,454,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
824615736,70698,"2016-05-06","2016-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
840595411,70698,"2016-04-29","2016-05-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
841182034,70698,"2016-01-16","2016-01-22",12,127,0,0,0,0,0,2,0,0,0,0,7,12,129,12,129,519440442,"Samos",37.75,26.83333,13910,"Hellenic Red Cross"
867411804,70698,"2016-05-27","2016-06-02",18,176,26,160,17,107,0,0,0,0,0,0,31,61,443,61,443,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
887281262,70698,"2016-01-23","2016-01-29",1,8,21,147,12,65,0,0,0,0,0,0,0,34,220,34,220,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross"
898779376,70698,"2016-02-19","2016-02-25",6,59,0,0,0,0,1,4,0,0,0,0,2,7,63,7,63,519440442,"Samos",37.75,26.83333,13753,"Samos"
912760916,70698,"2016-01-16","2016-01-22",3,30,16,136,10,100,0,0,0,0,0,0,0,29,266,29,266,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross"
922070904,70698,"2016-01-01","2016-01-08",6,55,6,30,4,20,0,0,0,0,0,0,18,16,105,16,105,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
960380888,70698,"2016-06-10","2016-06-16",0,0,9,48,16,77,0,0,12,64,10,150,0,47,339,37,189,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross"
970782568,70698,"2016-05-06","2016-05-12",0,0,8,64,16,128,2,16,9,72,0,0,25,35,280,35,280,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
984138913,70698,"2016-03-04","2016-03-10",12,72,0,0,0,0,0,0,0,0,0,0,0,12,72,12,72,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
984592495,70698,"2016-02-05","2016-02-11",7,42,15,90,10,60,0,0,0,0,0,0,0,32,192,32,192,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
990220476,70698,"2016-03-18","2016-03-24",0,0,7,24,2,4,2,0,0,0,0,0,0,11,28,11,28,569080712,"Kos",36.85,27.23333,13759,"Kos"
999966431,70698,"2016-03-04","2016-03-10",9,63,39,274,31,217,0,0,0,0,0,0,0,79,554,79,554,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1009513594,70698,"2016-05-13","2016-05-19",20,142,14,80,20,115,0,0,0,0,0,0,0,54,337,54,337,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1022066557,70698,"2015-10-01","2015-12-25",0,0,0,0,145,1187,0,0,0,0,0,0,100,145,1187,145,1187,519440442,"Samos",37.75,26.83333,13753,"Samos"
1029838801,70698,"2016-02-05","2016-02-11",8,50,0,0,0,0,0,0,0,0,0,0,2,8,50,8,50,519440442,"Samos",37.75,26.83333,13753,"Samos"
1030740524,70698,"2016-06-10","2016-06-16",0,0,0,0,8,64,0,0,0,0,0,0,0,8,64,8,64,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
1037368362,70698,"2016-03-11","2016-03-17",7,56,103,515,53,371,14,56,0,0,0,0,1,177,998,177,998,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1063690253,70698,"2016-02-19","2016-02-25",0,0,48,96,12,1084,4,94,0,0,0,0,55,64,1274,64,1274,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1069395137,70698,"2016-03-25","2016-03-31",0,0,7,12,14,1042,7,10,0,0,0,0,14,28,1064,28,1064,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1070401489,70698,"2016-03-18","2016-03-24",7,40,18,90,35,140,2,6,0,0,0,0,28,62,276,62,276,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1082189544,70698,"2016-02-12","2016-02-18",15,65,0,0,0,0,0,0,0,0,0,0,36,15,65,15,65,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1107023504,70698,"2016-02-26","2016-03-03",10,63,0,0,0,0,1,1,0,0,0,0,0,11,64,11,64,519440442,"Samos",37.75,26.83333,13753,"Samos"
1113654858,70698,"2016-04-01","2016-04-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
1121658594,70698,"2016-05-06","2016-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
1122114111,70698,"2016-04-08","2016-04-14",14,98,108,628,54,328,0,0,0,0,0,0,0,176,1054,176,1054,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1123096343,70698,"2016-02-12","2016-02-18",0,0,8,34,2,24,2,2,0,0,0,0,0,12,60,12,60,569080712,"Kos",36.85,27.23333,13759,"Kos"
1126244049,70698,"2016-06-10","2016-06-16",0,0,5,4,2,2,2,2,0,0,0,0,0,9,8,9,8,569080712,"Kos",36.85,27.23333,13759,"Kos"
1127721856,70698,"2016-05-20","2016-05-26",9,26,0,0,0,0,0,0,0,0,0,0,0,9,26,9,26,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1128250355,70698,"2016-06-17","2016-06-23",0,0,2,6,4,2,2,4,0,0,0,0,0,8,12,8,12,569080712,"Kos",36.85,27.23333,13759,"Kos"
1153720991,70698,"2016-01-02","2016-01-08",0,0,12,72,8,504,2,3,0,0,0,0,0,22,579,22,579,569080712,"Kos",36.85,27.23333,13759,"Kos"
1156262994,70698,"2016-05-27","2016-06-02",11,88,5,84,15,75,3,24,16,0,0,0,0,50,271,50,271,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1164504461,70698,"2016-04-29","2016-05-05",3,12,2,10,0,0,2,16,0,0,0,0,0,7,38,7,38,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1211784358,70698,"2016-06-03","2016-06-09",1,53,0,0,0,0,2,12,0,0,0,0,11,3,65,3,65,519440442,"Samos",37.75,26.83333,13753,"Samos"
1211833469,70698,"2015-12-26","2016-01-01",0,0,12,72,8,48,2,3,0,0,0,0,0,22,123,22,123,569080712,"Kos",36.85,27.23333,13759,"Kos"
1212494053,70698,"2015-12-26","2016-01-01",6,23,0,0,0,0,0,0,0,0,0,0,0,6,23,6,23,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1222224946,70698,"2016-04-15","2016-04-21",0,0,27,106,3,252,9,25,0,0,0,0,63,39,383,39,383,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1229711608,70698,"2016-02-26","2016-03-03",12,80,0,0,0,0,0,0,0,0,0,0,38,12,80,12,80,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1240851535,70698,"2016-03-04","2016-03-10",8,74,0,0,0,0,4,2,0,0,0,0,0,12,76,12,76,519440442,"Samos",37.75,26.83333,13753,"Samos"
1241798370,70698,"2016-01-23","2016-01-29",0,0,35,182,12,1040,3,45,0,0,0,0,72,50,1267,50,1267,755114467,"Lesvos",39.1,26.55,13910,"Hellenic Red Cross"
1261382212,70698,"2016-04-22","2016-04-28",0,0,7,24,7,1285,9,26,0,0,0,0,16,23,1335,23,1335,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1267654090,70698,"2015-12-26","2016-01-01",3,15,12,60,12,60,0,0,0,0,0,0,22,27,135,27,135,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1272816496,70698,"2016-06-03","2016-06-09",7,35,5,25,19,95,1,8,18,90,0,0,0,50,253,50,253,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross"
1279941994,70698,"2016-02-12","2016-02-18",3,15,17,119,17,85,0,0,0,0,0,0,27,37,219,37,219,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1289176094,70698,"2016-02-18","2016-02-25",13,110,0,0,0,0,0,0,0,0,0,0,0,13,110,13,110,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1290719295,70698,"2016-04-22","2016-04-28",5,15,0,0,0,0,0,0,0,0,0,0,0,5,15,5,15,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1311220093,70698,"2016-01-23","2016-01-29",8,40,9,45,12,60,0,0,0,0,0,0,0,29,145,29,145,2025732386,"Athens",37.96667,23.71667,13910,"Hellenic Red Cross"
1320252132,70698,"2016-04-08","2016-04-14",6,36,17,85,25,125,2,16,0,0,0,0,0,50,262,50,262,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1332906416,70698,"2016-01-23","2016-01-29",13,86,0,0,0,0,0,0,0,0,0,0,0,13,86,13,86,519440442,"Samos",37.75,26.83333,13910,"Hellenic Red Cross"
1340497257,70698,"2016-04-29","2016-05-05",0,0,6,48,20,155,2,16,0,0,0,0,0,28,219,28,219,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1349271731,70698,"2016-04-22","2016-04-28",5,40,18,80,20,100,2,16,0,0,0,0,0,45,236,45,236,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1349673355,70698,"2016-03-04","2016-03-10",0,0,7,15,0,0,0,0,0,0,0,0,0,7,15,7,15,569080712,"Kos",36.85,27.23333,13759,"Kos"
1393208021,70698,"2016-04-08","2016-04-14",10,31,0,0,0,0,0,0,0,0,0,0,0,10,31,10,31,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1413692480,70698,"2016-04-08","2016-04-14",0,0,13,91,13,82,2,14,14,98,0,0,18,42,285,42,285,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1422551413,70698,"2016-02-05","2016-02-11",0,0,9,45,5,116,2,4,0,0,0,0,0,16,165,16,165,569080712,"Kos",36.85,27.23333,13759,"Kos"
1434529838,70698,"2016-05-13","2016-05-19",7,62,0,0,0,0,1,5,0,0,0,0,0,8,67,8,67,519440442,"Samos",37.75,26.83333,13753,"Samos"
1441515378,70698,"2016-04-01","2016-04-07",3,11,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1455489431,70698,"2016-02-26","2016-03-03",28,168,49,294,38,228,0,0,0,0,0,0,0,115,690,115,690,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1469722997,70698,"2016-01-16","2016-01-22",0,0,10,64,5,270,2,3,0,0,0,0,0,17,337,17,337,569080712,"Kos",36.85,27.23333,13910,"Hellenic Red Cross"
1472005981,70698,"2016-05-27","2016-06-02",0,0,2,4,4,4,5,6,0,0,0,0,0,11,14,11,14,569080712,"Kos",36.85,27.23333,13759,"Kos"
1475406769,70698,"2016-01-30","2016-02-04",2,16,22,178,13,69,0,0,0,0,0,0,0,37,263,37,263,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1476450085,70698,"2016-04-01","2016-04-07",0,0,16,51,10,852,7,10,0,0,0,0,112,33,913,33,913,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1481829464,70698,"2016-05-20","2016-05-26",17,144,17,101,15,90,0,0,0,0,0,0,3,49,335,49,335,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1487986506,70698,"2016-04-08","2016-04-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
1510799446,70698,"2016-01-16","2016-01-22",4,24,9,36,15,60,0,0,0,0,0,0,0,28,120,28,120,2025732386,"Athens",37.96667,23.71667,13910,"Hellenic Red Cross"
1518851966,70698,"2016-05-13","2016-05-19",13,78,4,16,15,75,2,16,0,0,0,0,0,34,185,34,185,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1520710121,70698,"2016-03-18","2016-03-24",35,245,121,605,67,469,14,84,0,0,0,0,0,237,1403,237,1403,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1520722778,70698,"2016-04-15","2016-04-21",1,29,0,0,0,0,0,0,0,0,0,0,0,1,29,1,29,519440442,"Samos",37.75,26.83333,13753,"Samos"
1534318685,70698,"2016-04-15","2016-04-21",11,33.5,0,0,0,0,0,0,0,0,0,0,0,11,33.5,11,33.5,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1554321510,70698,"2015-10-01","2015-12-25",0,0,0,0,190,1538,0,0,0,0,0,0,35,190,1538,190,1538,569080712,"Kos",36.85,27.23333,13759,"Kos"
1559170096,70698,"2016-03-25","2016-03-31",0,0,11,80,17,136,3,14,15,109,0,0,0,46,339,46,339,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1564546378,70698,"2016-06-10","2016-06-16",9,72,5,25,9,45,3,24,9,45,0,0,19,35,211,35,211,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1572372799,70698,"2016-02-05","2016-02-11",0,0,25,147,13,1174,2,44,0,0,0,0,86,40,1365,40,1365,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1575067977,70698,"2016-05-27","2016-06-02",0,0,0,0,92,1630,0,0,0,0,0,0,0,92,1630,92,1630,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
