"siteId","activityId","startDate","endDate","Nursing_Vols","Nursing_Hrs_Service","SocWel_Vols","SocWel_Hrs_Service","Sam_Vols","Sam_Hrs_Service","RFL_Vols","RFL_Hrs_Service","FTTraining_Vols","FTTraining_Hrs_Service","Ben_Vols","Ben_Hrs_Service","Staff_Vols_Trained","tVols_IncBen","tVolsHrs_IncBen","tVols_ExcBen","tVolsHrs_ExcBen","Male","Female","Under5","tBen","Men_Women_Under5","Family_Parcels","Food_Parcels","Food_To_Go","Hot_Meals","Water_Bottles","Survival_Kits","tFood","Fem_HygKits","Male_HygKits","Unisex_HygKits","San_Pads","Razors","BabyKits","Diapers","tHygiene","tHygKits","Sleeping_Bags","Camping_Mats","High_Thermal_Blankets","Med_Thermal_Blankets","Jackets","Socks","tTextiles","Duffel_Bags","Backpacks","tBags","tWarmth","tClothing","Alum_Blankets","Other","tNFI_Other","Tea","Plastic_Cups","Sugar_Packs","Plastic_Bags","tRamadan","tDistributions","Health_IncERU","First_Aid","Rescue","Hyg_Promo","WASH","PSS_Counseling","Child_Activities","tPSS","tRFL","tRFL_Vulnerable","Info_Services","WIFI_Mobile","PhoneCards_Calls","Hotline_Calls","tHealth","tConnect","tWASH","tPpl_Reached","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection","Severity"
335368700,74621,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,1192,0,596,0,0,0,0,197,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,1466,0,0,0,0,0,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona","",""
336816728,74621,"2016-03-03","2016-03-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,15,15,135,0,23,115,0,0,328,0,138,0,0,118,14,115,3,0,250,118,0,0,2,0,0,0,2,0,115,115,2,0,0,0,115,0,0,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","",""
340432363,74621,"2016-02-12","2016-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,7,0,300,0,0,0,0,0,0,200,0,0,200,100,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","",""
341165609,74621,"2016-05-27","2016-06-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7376,7376,0,0,0,0,7376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159912091,"Kordelio",40.6621,22.8956,13910,"Hellenic Red Cross","",""
382787391,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,1292,1075,4267,0,0,2800,0,0,6800,0,2800,0,0,500,30,0,0,60,590,500,0,0,0,0,0,0,0,150,0,150,0,0,0,0,150,0,0,0,0,0,10340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025732386,"Athens",37.96667,23.71667,13761,"Athens","",""
406728310,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","",""
416114671,74621,"2016-04-01","2016-04-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5884,5884,0,0,0,0,1116,0,0,0,0,2400,105,473,250,292,3520,2400,0,0,840,0,0,0,840,0,408,408,840,0,0,0,408,0,0,0,0,0,5884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461396992,"Diavata",40.7,22.86,13838,"Diavata","",""
417771437,74621,"2016-02-05","2016-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,93,44,272,0,0,240,0,0,540,0,240,0,0,96,2,50,32,0,180,96,0,0,0,0,0,0,0,0,200,200,0,0,0,0,200,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
425787822,74621,"2016-04-08","2016-04-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,256,214,705,0,0,503,0,0,1045,0,503,0,0,126,0,0,14,90,230,126,0,0,269,0,0,0,269,360,0,360,269,0,0,0,360,0,0,0,0,0,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","",""
465490944,74621,"2015-12-26","2016-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7526,7526,0,2560,0,0,4000,0,2560,0,0,0,0,0,139,0,139,0,0,0,0,696,0,0,696,0,0,0,696,0,0,0,0,0,0,0,0,0,7395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
